product_name,sugars_100g,proteins_100g,categories_tags,ingredients_text,primary_category
Coop Fine Store Horn 240g,0.800000011920929,15.6999998092651,,"Hvetemel, vann, salt, rapsolje, gjær, vegetabilsk emulgator (E472e, E471, E322 solsikkelecithin), hvetegluten, dekstrose, melbehandlingsmiddel (E 300). Dekor: Valmuefrø",Other
Fajita Chicken with Brown Rice & Cajun Veg,1.8,11.0,,,Other
Chicken Parm,1.85185185185185,11.7283950617284,,,Other
Fluff,6.0,0.0,,,Other
Nurture Life Meal,2.0,16.0,,,Other
Organic Corn,5.0,0.0,,,Other
Purée de pommes de terre,1.64,2.27,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:meals,en:purees,en:potato-preparations,en:mashed-potatoes","Patates, sel, sucre, lait",Beverages
Organic Peas,10.0,14.0,,,Other
Organic Oats,38.400001525879,5.1999998092651,,,Other
Cigarettes Fourrées Chocolat Noisettes,48.0,6.0,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits,en:non-food-products,en:cigarettes,fr:biscuit-patissier-fourres-chocolat-noisette","Fourrage chocolat noisette 55% (chocolat en poudre 44.5%* (sucre, cacao en poudre), graisses de coprah et de palmiste, sucre,_noisette_7,5%';, _lait_écrémé en poudre, émulsifiant : lécithines (_soja_), arôme), farine de blé, sucre, fructose,_lait_écrémé en poudre, graisse de coprah, colorant: caramel ordinaire, émulsifiant: lécithines (_soja_), sel.  *exprimés sur le fourrage équivalent respectivement à 24,4% et 4,1% sur l'ensemble du produit.",Biscuits
Uncured Beef Hot Dogs,0.0,17.5438596491228,,,Other
Candy UP chocolat,0.6,0.1,,,Other
Ribeye,0.0,18.5188451295437,,,Other
Beef Top Sirloin Steak,0.0,16.9642857142857,,,Other
Organic Goat Feed - Mash,24.0,5.8,,"Maida, sugar, edible veg fat, salt,milk solids, yeast, vanilla powder, improvers",Other
Sucre neige,91.2,0.0,,,Other
Cassolade au confit de canard à la provençale,0.9,11.0,,,Other
carte macdo,9.0,17.0,,,Other
Nems poulet,1.89999997615814,7.90000009536743,"en:meats-and-their-products,en:meals,en:meals-with-meat,en:poultry-meals,en:meals-with-chicken,en:nems,en:chicken-nems",,Other
น้ำยาพ่นคอ,9.9,10.0,"en:beverages-and-beverages-preparations,en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:vegetables,en:broccoli",,Beverages
Everything Nut Blend,3.5714285714286,17.857142857143,,,Other
Honey And Chilli Beef With Egg Noodles & Greens,1.8,13.25,,,Other
Nathan Thomazo,20.0,2.0,,,Other
Kollagen Hydrolysat edubily,0.100000001490116,1.0,,,Other
vanilla protein,3.57142857142857,64.2857142857143,"en:dietary-supplements,en:bodybuilding-supplements,en:protein-shakes",,Other
Born fruta fresca deshidratada,56.5,5.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:dried-products,en:dried-plant-based-foods,en:dried-fruits",,Beverages
pot au feu de légumes aux aromates,3.0,1.4,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups","es laisirs % des R.&quot; par NGREDIENTS eau, légumes 27 % (carotte, navet, poireau, pomme de terre, chou vert, céleri, oignon), viande de boeuf cuite 2,2 %, amidon transformé de pomme de terre, sel, arômes (contient : lait, céleri, huile de colza, girofle en poudre, exhausteur de goût: glutamate de sodium, extraits naturels de thym, de laurier et de poivre. Peut contenir des traces de blé et oeuf 3% 3% 1% 3% 3% | | 7% 31% dulte",Beverages
velouté de 10 légumes,1.5,0.7,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:cream-soups,en:vegetable-soups,en:cream-of-vegetable-soups","eau, légumes 42% ( jus de tomates à base de concentré*, pomme de terre* carotte*, oignon*, poireau*, céleri-rave*,Courgette*, chou-fleur*, panais*, cresson), crème*, amidon* Sucre de canne*, sel de mer, extrait de levure. * issus de L'agriculture biologique sans colorant - sans conservateur.",Beverages
Délice de 10 Légumes,2.52,0.8,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups","Eau, légumes 39 % (carotte, pomme de terre, purée de tomates reconstituée, oignon, poireau, potiron, céleri, petit pois, navet, chou-fleur), lait écrémé reconstitué, amidon modifié, huile de colza, sucre, beurre de Cuisine, sel, arôme. Peut contenir des traces de blé et œuf.",Beverages
soupe à la chinoise  légumes et vermicelles,0.5,0.6,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:meals,en:dried-products,en:pastas,en:dried-products-to-be-rehydrated,en:noodles,en:soups,en:instant-noodles,en:instant-noodle-soups","eau, légumes 15 % (oignon, carotte, pousses de bambou, céleri, poivron, poireau), vermicelles cuits 5 % (semoule de blé, blanc d'oeufi, champignons noirs 2,4 %, amidon transformé de pomme de terre, arômes (contient céleri), sel, graisse de poule antioxydant: extrait de romarinl, piment de Cayenne, ait écrémé en poudre",Beverages
Potiron et vermicelles,1.7,0.7,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:meals,en:vegetable-based-foods-and-beverages,en:pumpkin-and-squash-plant-products,en:soups,en:cream-soups,en:pumpkins-and-their-products,en:vegetable-soups,en:cream-of-vegetable-soups,en:pumpkin-soups,en:cream-of-pumpkin-soups","eau, légumes 30% (potiron 17%, carotte, jus de tomates à base de concentré, pomme de terre, oignon), _vermicelles_ cuits 8% (semoule de _blé_, _blanc d'œuf_, amidon transformé de maïs, _crème fraîche_, sel, sucre, arômes (contient du _lait_)",Beverages
Légumes et kiri,2.0,1.0,,,Other
Mouliné de Légumes Bio,0.7,0.8,,"légumes 50% (carotte pomme de terre oignon* céleri-rave chou-fleur poireau, courgette*), eau, crème, sel de mer, amidon de mais arôme naturel. issus de l'agriculture biologique.",Other
soupe à la paysanne,0.6,1.6,,"eau,légumes 41% (oignon,carotte 7,2%, chou vert 7%, petit pois, navet, pomme de terre,  poireau, haricots blancs), lardons fumés 2% (porc, eau, sel), crème fraîche,  amidon transformé, sel, arôme, (dont arôme de fumée).",Other
Délice de potiron châtaigne,2.3,0.7,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups,en:pumpkin-soups","eau, légumes 43 % (potiron 26%, pomme de terre, carotte, jus de tomates à base de concentré), châtaignes 2,8%, crème, amidon transformé de maïs, sel, sucre, arômes (contient: lait) Peut contenir des traces de céleri, blé et oeuf.",Beverages
Lié big purSoup mouliné de 10 Légumes,1.4,0.9,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups","légumes 55 % (pomme de terre, carotte, oignon, céleri-rave, chou-fleur, poireau, jus de tomates à base de concentré, panais, courgette, cerfeuil), eau, sel, huile de colza, beurre de cuisine, arômes. Peut contenir des traces de blé et oeuf.",Beverages
Soupe potiron et kiri,2.0,0.9,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups","eau, légumes 36 % (potiron 18 %, carotte, oignon, pomme de terre, purée de tomates à base de concentré), fromage blanc fondu Kiri® 3,1 % (fromage blanc, crème, protéines de lait, sels de fonte : polyphosphates, phosphates et citrates de sodium, acide citrique, sel, amidon transformé de maïs, crème, sel, sucre, arômes, exhausteur de goût: glutamate de sodium, lait écrémé. Peut contenir des traces de céleri, blé et oeuf.",Beverages
Minestrone à la Milanaise,1.8,1.3,,,Other
Gaspacho à l'andalouse,1.9,0.7,"en:meals,en:soups,en:cold-soups","jus de tomates à base de concentré 33 %, eau, concombre 15 %, poivron rouge 14 %, oignon 5 %, huile d'olive vierge extra 1,2%, vinaigre de vin, sel, ail, sucre, jus concentré de citron, arôme, piment de Cayenne, lait écrémé en poudre.  Peut contenir des traces de 28% céleri, blé (gluten) et oeuf.",Other
Velouté de légumes du soleil,1.4,0.9,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:canned-foods,en:meals,en:soups,en:cream-soups,en:vegetable-soups,en:canned-meals,en:cream-of-vegetable-soups,en:canned-soups,en:canned-vegetable-soups","Légumes*76% (jusdetomates* àbasede concentre53%,carotte "",courgette"" 5,9%, oignon',pommedeterre,poivronrouge 2,1%,haricot vert* ),eau, huiled'olive viergeextra 1,5%,amidon de mais"" ,sel de mer,extrait de levure, ail"",arômesnaturels depoivre, thym,laurier etautres aromes naturels,crème enpoudre. issusdel'agriculture biologique. Peut contenir des traces de céleri, blé(gluten) et oeuf. 1 Le",Beverages
Potiron et j’irai,1.4,0.9,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups,en:pumpkin-soups","4% eau, potiron 19%, carotte, oignon, fromage blanc fondu Kiri 3,1% (fromage blanc, crème, protéines de lait, sels de fonte: polyphosphates phosphates et citrates de sodium, acide citrique, sel, pomme de terre, jus de tomates à base de concentré, amidon transformé de maïs, crème, sel, arômes (contient : lait), lait écrémé en poudre. Peut contenir des traces de céleri, blé et oeuf.",Beverages
bio mouliné de legumes verts,1.0,1.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups,it:zuppa",,Beverages
velouté de potiron et graines de courge bio,1.3,0.8,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups,en:pumpkin-soups","eau potiron 27%, carotte, pomme de terre, jus de tomate à base de concentré, amidon de maïs, crème en poudre, sel de mer, graines de courge 0,5%, arôme naturel",Beverages
velouté de tomates et pointe d'origan,2.4,0.7,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups,en:tomato-soups","jus de tomates à base de concentré 54%, eau, carottes, oignon, céleri raves, amidons de maïs, crème en poudre, sel de mer, poireau, Sucre de canne, origan 0,04%, arôme naturel de poivre, arôme naturel de thym, arôme naturel de basilic",Beverages
Velouté de 10 Légumes,1.1,0.8,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:cream-soups,en:vegetable-soups,en:cream-of-vegetable-soups","Eau, jus de tomate à base de concentré, pomme de terre, carotte, oignon, poireau, potiron, amidon de mais, céleri, huile de colza, beurre de cuisine, sel, petit pois, chou-fleur, navet, lait écrémé en poudre, arômes naturels (contient lait).",Beverages
Velouté de tomates,3.3,1.1,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups,en:tomato-soups","Jus de tomate à base de concentré 65%, eau, amidon de mais, sucre, lait écrémé en poudre, sel, beurre de cuisine, huile de colza, arômes naturels (contient lait), jus de citron concentré. Peut contenir des traces de céleri, blé (gluten)et œuf. 1Le AN NOINN *Conformément à",Beverages
pur soup' mouliné de 5 légumes verts,0.738538167317707,0.813140462239582,"en:meals,en:soups,en:reheatable-soups","Eau, pomme de terre, courgette, poireau, brocoli, haricot vert, oignon, céleri-rave, épinard, carotte, crème fraiche, amidon de maïs, sel. Contient 29% de légumes verts. Peut contenir des traces de blé (gluten) et oeuf.",Other
Velouté de 12 légumes,1.4,0.7,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:cream-soups,en:vegetable-soups,en:cream-of-vegetable-soups,fr:potage","Eau, jus de tomate à base de concentré, pomme de terre , carotte, oignon, poireau, potiron, amidon de maïs, céleri, huile de colza, lait écrémé, beurre de cuisine, petit pois, chou fleur, navet, sel, chou rave, panais, arômes naturels (contient lait)",Beverages
Bio légumes et mini penne,2.0,0.899999976158142,,,Other
Soupe bio tomate,2.5,0.800000011920929,"en:meals,en:soups",,Other
Délice de courgette au chèvre,1.39999997615814,1.0,,,Other
gaspacho à l'andalouse,2.2,0.7,"en:meals,en:soups,en:cold-soups","Jus de tomates à base de concentré, eau, concombre, poivron rouge, oignon, vinaigre de vin, huile d'olive vierge extra 1,2%, sel, ail, jus concentré de citron, sucre, arôme naturel, piment de Cayenne",Other
Gaspacho bio liebig,2.8,0.6,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups,en:cold-soups,en:gazpacho",,Beverages
Soupe poireaux noix de St Jacques,1.11999998092651,1.87999992370605,,,Other
Soupe a l’oignon,1.89999997615814,0.629999995231628,,,Other
cèpes & Bolets à la crème fraîche,1.241335,0.94851,fr:potage,"Eau, lait écrémé reconstitué, crème fraîche 3,7%, amidon transformé de maïs, cèpe réhydraté 2,5%, bolet réhydraté 2,5%, arômes (contient: lait), sel. Peut contenir des traces de céleri, blé (gluten) 1Le et d'euf.",Other
Soupe légumes et kiri,1.5,0.800000011920929,,,Other
Soupe à la campagnarde,1.10000002384186,2.20000004768372,,,Other
Velouté de 10 légumes,1.3,0.7,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:cream-soups,en:vegetable-soups,en:cream-of-vegetable-soups","Céleris Eau, jus de tomate à base de concentré, pomme de terre, carotte, oignon, poireau, potiron, amidon de mais, céleri, huile de colza, lait écrêmé, beurre de cuisine, sel, petit pois, chou-fleur,navet, arômes naturels (contient lait). Peut contenir des traces de blé (gluten) et œuf. Petitspois Navets 1Le Potiron",Beverages
Mouliné de Légumes Verts,1.5,1.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups","Eau,pomme de terre³,courgette³ , poireau³, haricot vert³, oignon³, céleri-rave³, brocoli³, carotte³, épinard³, amidon de mais³, crème³, sel de mer,arôme naturel. Contient 24% de légumes verts. ³Issus de l'agriculture biologique. Peut contenir des traces de blé (gluten) et œuf.",Beverages
Soupe,2.27999992370605,0.6,,,Other
Soupe  légumes vermicelles,1.4,1.0,,,Other
soupe potiron carottes et vermicelles,3.6,1.7,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups",,Beverages
Soupe chinoise légume et vermicelles,0.800000011920929,0.5,,,Other
Soupe Toscane,20.1,10.3,,"Tomates* 31 %, vermicelles 18 % (semoule de blé dur supérieure*), farine de blé&quot;, fécule de pomme de terre*, sel, sucre de canne*, oignon* 3,5 %, huile d'olive vierge extra* 2 %, ail*, extrait de levure, arôme naturel, plantes aromatiques 1,07 % (dont basilic* 0,45 %), betterave rouge. &quot;Issus de l'agriculture biologique",Other
Velouté chanterelles est Bolets,0.899999976158142,0.600000023841858,,,Other
Velouté de 8 légumes,1.84,0.6,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups,en:cream-soups,en:cream-of-vegetable-soups","Eau, carotte 14,1%, pomme de terre 14,1%, jus de tomate reconstitué 9,7%, huile de colza, oignon 1,3%, amidon modifié de mais, poireau 0,9%, potiron 0,7%, sucre, céleri-rave 0,6%, petit pois 0,6%, sel, beurre concentré, poudre de lait écrémé, arôme naturel.",Beverages
Velouté de potiron,2.09999990463257,0.699999988079071,,,Other
velouté de potiron,1.6,0.6,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups,en:cream-soups,en:cream-of-vegetable-soups,en:pumpkin-soups,en:cream-of-pumpkin-soups","Eau, potiron 35%, oignon, pomme de terre, carotte, jus de tomates à base de concentré, crème fraiche 1,7%, amidon transformé de maïs, sel, beurre de cuisine, arômes (contient lait). Peut contenir des traces de céleri, blé (gluten) et oeuf.",Beverages
velouté de cresson.,0.3,0.8,"en:meals,en:soups,en:cream-soups,fr:soupe-de-cresson","Eau,pomme de terre 18%, cresson de jardin 4,8%,crème fraîche 2,2%, oignon,amidons transformé de maïs, petits pois, sel,arômes ( contient lait) extrait naturel de poivre. peut contenir des traces de céleri, blé ( gluten ) et œuf.",Other
velouté de 10 légumes,1.9,0.6,"en:meals,en:soups,en:reheatable-soups","Eau, légumes 41 % (carotte 12 %, jus de tomates à base de concentré 11 %, flocons de pomme de terre réhydratés 10 %, oignon réhydraté 2,7 %, céleri-rave 1,4%, potiron réhydraté 1,2 %, poireau 0,9%, panais 0,6 %, navet 0,6 %, petit pois 0,6%); huile de colza; amidon modifié de maïs; lait écrémé reconstitué ; sucre ; sel ; beurre concentré ; extrait de levure. Traces de gluten, crustacés, cœufs et poissons.",Other
Kippensoep,0.200000002980232,1.29999995231628,,,Other
Délice de 8 légumes,1.5,0.8,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:vegetable-soups,en:cold-soups","eau, carotte, jus de tomates à base de concentré, pomme de terre, crème fraîche 4.7%, oignon, amidon modifié, beurre concentre, potiron, poireau, céleri-rave, petit pois, panais, céleri, sel, arômes (contient lait).Contient 36% de légumes.",Beverages
Légumes variés,1.4,0.9,,,Other
Légume d’autrefois,1.4,0.6,,,Other
Velouté tomates + boulettes,1.4,1.3,,,Other
Carotte panais,2.40000009536743,0.600000023841858,,,Other
Soupe délice de 8 légumes avec boulettes,2.5,1.5,,,Other
Minestrone,1.39999997615814,1.0,,,Other
Soupe tomates boulettes,2.29999995231628,1.70000004768372,,,Other
Tomates légumes,1.60000002384186,1.10000002384186,,,Other
